DateTime,RIST_MAKS_SP_LAST,RIST_AUTO_DIFF_SP_LAST(cm),RIST_FALLTAP_PV(cm),RIST_MAKS_PADRAG_SP_LAST(%),RIST_AUTT_DIFF_TM_PV(cm)
2024-01-06 03:00:00,5.0,70.0,4.2588551838166655,80.0,70.0
2024-01-06 04:00:00,5.0,70.0,4.265467325866665,80.0,70.0
2024-01-06 05:00:00,5.0,70.0,4.2577065361500015,80.0,70.0
2024-01-06 06:00:00,5.0,70.0,4.157689412416668,80.0,70.0
2024-01-06 07:00:00,5.0,70.0,4.178731706383333,80.0,70.0
2024-01-06 08:00:00,5.0,70.0,4.298337300666668,80.0,70.0
2024-01-06 09:00:00,5.0,70.0,4.203268686933334,80.0,70.0
2024-01-06 10:00:00,5.0,70.0,4.131715562616667,80.0,70.0
2024-01-06 11:00:00,5.0,70.0,4.116730160166668,80.0,70.0
2024-01-06 12:00:00,5.0,70.0,4.095630645800001,80.0,70.0
2024-01-06 13:00:00,5.0,70.0,4.099343617683333,80.0,70.0
2024-01-06 14:00:00,5.0,70.0,4.024119906916668,80.0,70.0
2024-01-06 15:00:00,5.0,70.0,4.006173875566668,80.0,70.0
2024-01-06 16:00:00,5.0,70.0,4.041103786833333,80.0,70.0
2024-01-06 17:00:00,5.0,70.0,3.979869418699999,80.0,70.0
2024-01-06 18:00:00,5.0,70.0,4.011972215450003,80.0,70.0
2024-01-06 19:00:00,5.0,70.0,3.978928460016665,80.0,70.0
2024-01-06 20:00:00,5.0,70.0,4.03897391431667,80.0,70.0
2024-01-06 21:00:00,5.0,70.0,3.955228593633333,80.0,70.0
2024-01-06 22:00:00,5.0,70.0,4.002524481816665,80.0,70.0
2024-01-06 23:00:00,5.0,70.0,3.899830712266668,80.0,70.0
2024-01-07 00:00:00,5.0,70.0,3.9271884494166662,80.0,70.0
2024-01-07 01:00:00,5.0,70.0,6.15723715878333,80.0,70.0
2024-01-07 02:00:00,5.0,70.0,6.424145168733333,80.0,70.0
2024-01-07 03:00:00,5.0,70.0,6.347236633216669,80.0,70.0
2024-01-07 04:00:00,5.0,70.0,6.421616872166669,80.0,70.0
2024-01-07 05:00:00,5.0,70.0,6.55733956215,80.0,70.0
2024-01-07 06:00:00,5.0,70.0,6.548648410583337,80.0,70.0
2024-01-07 07:00:00,5.0,70.0,6.569921705400002,80.0,70.0
2024-01-07 08:00:00,5.0,70.0,6.63697136791667,80.0,70.0
2024-01-07 09:00:00,5.0,70.0,6.657106611750003,80.0,70.0
2024-01-07 10:00:00,5.0,70.0,6.7366981507666726,80.0,70.0
2024-01-07 11:00:00,5.0,70.0,6.810374789850003,80.0,70.0
2024-01-07 12:00:00,5.0,70.0,6.891661749916668,80.0,70.0
2024-01-07 13:00:00,5.0,70.0,6.898059845116664,80.0,70.0
2024-01-07 14:00:00,5.0,70.0,4.338355594116667,80.0,70.0
2024-01-07 15:00:00,5.0,70.0,4.198171827583334,80.0,70.0
2024-01-07 16:00:00,5.0,70.0,4.162194993800001,80.0,70.0
2024-01-07 17:00:00,5.0,70.0,4.252406226383335,80.0,70.0
2024-01-07 18:00:00,5.0,70.0,4.282669491183333,80.0,70.0
2024-01-07 19:00:00,5.0,70.0,4.273005591716666,80.0,70.0
2024-01-07 20:00:00,5.0,70.0,4.257278442383334,80.0,70.0
2024-01-07 21:00:00,5.0,70.0,4.314490424299998,80.0,70.0
2024-01-07 22:00:00,5.0,70.0,4.320625728933332,80.0,70.0
2024-01-07 23:00:00,5.0,70.0,4.3629010518,80.0,70.0
2024-01-08 00:00:00,5.0,70.0,7.268990410766664,80.0,70.0
2024-01-08 01:00:00,5.0,70.0,7.363156212749997,80.0,70.0
2024-01-08 02:00:00,5.0,70.0,7.4219491746,80.0,70.0
2024-01-08 03:00:00,5.0,70.0,7.44723425978333,80.0,70.0
2024-01-08 04:00:00,5.0,70.0,7.553361256850003,80.0,70.0
2024-01-08 05:00:00,5.0,70.0,9.28972879995,80.0,70.0
2024-01-08 06:00:00,5.0,70.0,11.5386560225,80.0,70.0
2024-01-08 07:00:00,5.0,70.0,11.588202584333333,80.0,70.0
2024-01-08 08:00:00,5.0,70.0,11.681959363166667,80.0,70.0
2024-01-08 09:00:00,5.0,70.0,11.8187607665,80.0,70.0
2024-01-08 10:00:00,5.0,70.0,11.9005690675,80.0,70.0
2024-01-08 11:00:00,5.0,70.0,12.056990729166667,80.0,70.0
2024-01-08 12:00:00,5.0,70.0,12.195680406166666,80.0,70.0
2024-01-08 13:00:00,5.0,70.0,12.386167313666666,80.0,70.0
2024-01-08 14:00:00,5.0,70.0,12.465807595666666,80.0,70.0
2024-01-08 15:00:00,5.0,70.0,12.674314713333333,80.0,70.0
2024-01-08 16:00:00,5.0,70.0,12.794166141666668,80.0,70.0
2024-01-08 17:00:00,5.0,70.0,13.085471259,80.0,70.0
2024-01-08 18:00:00,5.0,70.0,13.254723018833332,80.0,70.0
2024-01-08 19:00:00,5.0,70.0,13.490823109666668,80.0,70.0
2024-01-08 20:00:00,5.0,70.0,19.742692311,80.0,70.0
2024-01-08 21:00:00,5.0,70.0,37.16764450116667,80.0,70.0
2024-01-08 22:00:00,5.0,70.0,39.175359938,80.0,70.0
2024-01-08 23:00:00,5.0,70.0,39.9333678335,80.0,70.0
2024-01-09 00:00:00,5.0,70.0,40.664316815,80.0,70.0
2024-01-09 01:00:00,5.0,70.0,41.3812806875,80.0,70.0
2024-01-09 02:00:00,5.0,70.0,42.24168989366667,80.0,70.0
2024-01-09 03:00:00,5.0,70.0,43.1098005505,80.0,70.0
2024-01-09 04:00:00,5.0,70.0,43.84752273516666,80.0,70.0
2024-01-09 05:00:00,5.0,70.0,44.624004364,80.0,70.0
2024-01-09 06:00:00,5.0,70.0,45.25195015766667,80.0,70.0
2024-01-09 07:00:00,5.0,70.0,45.54931004916666,80.0,70.0
2024-01-09 08:00:00,5.0,70.0,41.10627916133333,80.0,70.0
2024-01-09 09:00:00,5.0,70.0,32.741574180166666,80.0,70.0
2024-01-09 10:00:00,5.0,70.0,28.813533782166665,80.0,70.0
2024-01-09 11:00:00,5.0,70.0,29.278110928333334,80.0,70.0
2024-01-09 12:00:00,5.0,70.0,29.90679423,80.0,70.0
2024-01-09 13:00:00,5.0,70.0,30.411478678166667,80.0,70.0
2024-01-09 14:00:00,5.0,70.0,30.9736315405,80.0,70.0
2024-01-09 15:00:00,5.0,70.0,31.611682044166667,80.0,70.0
2024-01-09 16:00:00,5.0,70.0,32.20000373083333,80.0,70.0
2024-01-09 17:00:00,5.0,70.0,51.30797068333333,80.0,70.0
2024-01-09 18:00:00,5.0,70.0,52.99463695866667,80.0,70.0
2024-01-09 19:00:00,5.0,70.0,53.767318726666666,80.0,70.0
2024-01-09 20:00:00,5.0,70.0,54.49518415533333,80.0,70.0
2024-01-09 21:00:00,5.0,70.0,55.20520104366667,80.0,70.0
2024-01-09 22:00:00,5.0,70.0,56.04841232266666,80.0,70.0
2024-01-09 23:00:00,5.0,70.0,56.7617013725,80.0,70.0
2024-01-10 00:00:00,5.0,70.0,16.02170944128333,80.0,70.0
2024-01-10 01:00:00,5.0,70.0,14.669433169666666,80.0,70.0
2024-01-10 02:00:00,5.0,70.0,15.127124787833331,80.0,70.0
