DateTime,REG_P_LAST(KW),REG_NIVA_LAST(m),REG_NIVA_PV(m),REG_P_PV(KW),AGC_DB_SP
2024-01-10 00:00:00,6000.0,-0.05999999866,-0.05999999866,1285.6894976666667,0.0
2024-01-10 01:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 02:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 03:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 04:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 05:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 06:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 07:00:00,6000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-10 08:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-10 09:00:00,6000.0,-0.05999999866,-0.05999999866,1197.0395438,0.0
2024-01-10 10:00:00,5000.0,-0.05999999866,-0.05999999866,3307.8750412,0.0
2024-01-10 11:00:00,5000.0,-0.05999999866,-0.05999999866,5000.0,0.0
2024-01-10 12:00:00,5000.0,-0.05999999866,-0.05999999866,5325.361904766667,0.0
2024-01-10 13:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 14:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 15:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 16:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 17:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 18:00:00,5000.0,-0.05999999866,-0.05999999866,5955.0,0.0
2024-01-10 19:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 20:00:00,5000.0,-0.0589999986823334,-0.0589999986823334,6000.0,0.0
2024-01-10 21:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 22:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-10 23:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 00:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 01:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 02:00:00,5000.0,-0.05999999866,-0.05999999866,855.6,0.0
2024-01-11 03:00:00,5000.0,-0.05999999866,-0.05999999866,645.0,0.0
2024-01-11 04:00:00,5000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-11 05:00:00,5000.0,-0.05999999866,-0.05999999866,3764.6503757333335,0.0
2024-01-11 06:00:00,5000.0,-0.05999999866,-0.05999999866,5958.6952381,0.0
2024-01-11 07:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 08:00:00,5000.0,-0.0589999986823334,-0.0589999986823334,6000.0,0.0
2024-01-11 09:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 10:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 11:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 12:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 13:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 14:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 15:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 16:00:00,5000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-11 17:00:00,6666.666666666667,-0.05999999866,-0.05999999866,7087.619913416666,0.0
2024-01-11 18:00:00,8000.0,-0.05999999866,-0.05999999866,8000.0,0.0
2024-01-11 19:00:00,8000.0,-0.05999999866,-0.05999999866,8000.0,0.0
2024-01-11 20:00:00,8000.0,-0.0589999986823334,-0.0589999986823334,7958.888888883333,0.0
2024-01-11 21:00:00,7000.0,-0.05999999866,-0.05999999866,6460.808013933333,0.0
2024-01-11 22:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-11 23:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 00:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 01:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 02:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 03:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 04:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 05:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 06:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 07:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 08:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-12 09:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 10:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 11:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 12:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 13:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 14:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 15:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 16:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 17:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 18:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 19:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 20:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-12 21:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 22:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-12 23:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 00:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 01:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 02:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 03:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 04:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 05:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 06:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 07:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 08:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-13 09:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 10:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 11:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 12:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 13:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 14:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 15:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 16:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 17:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 18:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 19:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 20:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-13 21:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 22:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-13 23:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 00:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 01:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 02:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 03:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 04:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 05:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 06:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 07:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 08:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-14 09:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 10:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 11:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 12:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 13:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 14:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 15:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 16:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 17:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 18:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 19:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 20:00:00,4000.0,-0.0589999986823334,-0.0589999986823334,600.0,0.0
2024-01-14 21:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 22:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-14 23:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 00:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 01:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 02:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 03:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 04:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 05:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 06:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
2024-01-15 07:00:00,4000.0,-0.05999999866,-0.05999999866,600.0,0.0
